Wavelength	Spectrum00000.asd	Spectrum00001.asd	Spectrum00002.asd	Spectrum00003.asd	Spectrum00004.asd	Spectrum00005.asd	Spectrum00006.asd	Spectrum00007.asd	Spectrum00008.asd	Spectrum00009.asd	Spectrum00010.asd	Spectrum00011.asd	Spectrum00012.asd
342	0.134677562963486	0.226602763579698	0.10791513928722	1.49922059272382E-02	7.97589041111546E-02	7.05693055321523E-02	6.73279598529716E-02	6.41517582360988E-02	9.32492251106646E-02	1.73438208606859E-02	8.95495852387555E-02	7.98283339670355E-02	 7.99263357800691E-02 
343	0.133712879501761	0.226750015121947	0.109058917999804	1.55472673247578E-02	7.96049646287599E-02	7.07459386543719E-02	6.82334721352803E-02	6.46311667106268E-02	9.34101554126795E-02	1.81609467828155E-02	9.09890910943977E-02	8.10460138441514E-02	 8.08955354718531E-02 
344	0.131740799884138	0.225599686636813	0.109885548904913	0.015070677965225	0.079230448456327	7.06242142679504E-02	6.85419063849846E-02	6.42358885564422E-02	9.22692843266263E-02	1.81118358209519E-02	0.09169256241926	8.11979152177557E-02	 0.081502107890263 
345	0.130466167556328	0.224131124481552	0.10874458340564	1.40581287091358E-02	0.07843658481421	6.90183198090778E-02	6.67701219610007E-02	6.22654626187022E-02	9.06757391779394E-02	1.61881355846283E-02	9.15578660432405E-02	0.080061398196428	 7.96298830944063E-02 
346	0.129946736549975	0.222931584761073	0.108726867141214	1.46884455731231E-02	7.79453954127424E-02	6.82933173603208E-02	0.065143079233985	6.15861830315798E-02	8.93307871402538E-02	1.62510138867837E-02	9.29817450038018E-02	8.02207359621591E-02	 7.86439618551001E-02 
347	0.130157953347399	0.222236738897528	0.110087655132447	1.67009338405636E-02	7.82748395214572E-02	6.87449686566227E-02	6.45186573025911E-02	6.22967860012542E-02	8.87928540967307E-02	1.85245000669992E-02	9.56777442034107E-02	8.20122380583813E-02	 0.079438458859336 
348	0.129652332797991	0.221584705853683	0.109808491042972	1.60810738105343E-02	7.84437207982982E-02	6.89491785332131E-02	0.064868593733999	0.061518285641341	8.85584379666121E-02	1.91853236118819E-02	9.61966408756624E-02	8.23271214359435E-02	 0.079469604982947 
349	0.12798011509226	0.220951689368812	0.108697786377432	1.47218025696344E-02	7.80423538023904E-02	6.81904035005206E-02	0.064703048256209	6.03354674479274E-02	8.79887426099868E-02	0.018444853915103	9.60142815563999E-02	8.14053916917058E-02	 7.83714213075145E-02 
350	0.125824782694093	0.220266256219235	0.108217055944508	1.35677980349005E-02	7.56454818928437E-02	6.56676664954192E-02	6.28895172149991E-02	5.88636699746672E-02	8.66065544172626E-02	1.67684576561141E-02	9.58872376689091E-02	7.98879061753347E-02	 7.62811976551767E-02 
351	0.12656262848882	0.220705759301912	0.109648503326243	1.47540246828066E-02	7.59744477626157E-02	0.06610859982194	6.34532050954532E-02	5.93229181760951E-02	8.71543857222847E-02	1.80681326268592E-02	0.097747834060792	8.14017501007303E-02	 7.68775043973638E-02 
352	0.128602080914632	0.221233275524762	0.112005071346189	1.69603845038206E-02	7.81526977631399E-02	6.84129436466307E-02	6.51964193120493E-02	6.10039349348766E-02	8.83944277510621E-02	2.11253943484305E-02	0.100419739747005	8.45108864118138E-02	 7.89382754565605E-02 
353	0.126983665096947	0.219862149273609	0.111950281952279	1.55200061600117E-02	0.076865907315615	6.69446559532433E-02	6.32051604935019E-02	5.99208868267971E-02	8.65446465904348E-02	1.96854966132087E-02	0.100649487277517	8.37191761189036E-02	 7.67844304170018E-02 
